domain_id,subdomain_id,facet_id,method,rank,text,passed
1,1.1,1.1.1,gemma,1,bijhouden wat er wordt uitgelegd tijdens de les,True
1,1.1,1.1.2,gemma,2,een taak met behulp van woordenlijsten uitvoeren,True
1,1.1,1.1.3,gemma,3,ideeën delen voor de presentatie,True
1,1.1,1.1.4,gemma,4,lesnotities doornemen en samenvatten,True
1,1.1,1.1.5,gemma,5,naar een digitale les inloggen,True
1,1.1,1.1.6,gemma,6,strategieën zoeken om een moeilijk puzzel te kunnen aanpakken,True
1,1.1,1.1.7,gemma,7,een eigen lied componeren met verschillende melodieën,True
1,1.2,1.2.1,gemma,8,je spullen klaarleggen voor de volgende les,True
1,1.2,1.2.2,gemma,9,het resultaat van je examen bekijken,True
1,1.2,1.2.3,gemma,10,een document ordenen op alfabet,True
1,1.2,1.2.4,gemma,11,aanmoedigen tijdens een wedstrijd tussen klassen,True
1,1.3,1.3.1,gemma,12,de leerkracht om uitleg vragen,True
1,1.3,1.3.2,gemma,13,een grap vertellen aan een klasgenoot,True
1,1.3,1.3.3,gemma,14,samen een kring vormen voor de les,True
1,1.3,1.3.4,gemma,15,meer informatie over de schoolkeuze krijgen,True
2,2.1,2.1.1,gemma,16,de huid goed afdrogen,True
2,2.1,2.1.2,gemma,17,een lekkere maaltijd klaarmaken,True
2,2.1,2.1.3,gemma,18,ramen schoonmaken met een doekje,True
2,2.1,2.1.4,gemma,19,kleren voor morgen sorteren in de kast,True
2,2.1,2.1.5,gemma,20,ouders helpen met de was opvouwen,True
2,2.2,2.2.1,gemma,21,vragen om advies over een probleem met vrienden,True
2,2.2,2.2.2,gemma,22,delen van je spullen met je broer of zus,True
2,2.2,2.2.3,gemma,23,meegaan op visite bij oom en tante,True
2,2.2,2.2.4,gemma,24,plezier hebben tijdens gezinstijd,True
2,2.3,2.3.1,gemma,25,informeren over de tijd die wordt gebruikt,True
2,2.3,2.3.2,gemma,26,privacy nodig hebben om te kunnen denken,True
2,2.3,2.3.3,gemma,27,vragen of jullie afspraken kunnen maken over gezinstijd,True
2,2.3,2.3.4,gemma,28,zelf een plan maken voor een activiteit,True
3,3.1,3.1.1,gemma,29,een geheim delen met iemand vertrouwd,True
3,3.1,3.1.2,gemma,30,organiseren van een activiteit voor je groep vrienden,True
3,3.1,3.1.3,gemma,31,grappen maken samen met een klasgenoot tijdens les,True
3,3.1,3.1.4,gemma,32,een kus geven na veel flirtgedrag,True
3,3.2,3.2.1,gemma,33,met vrienden een spelletje tikken,True
3,3.2,3.2.2,gemma,34,via bericht met een vriend afspraak plannen,True
3,3.2,3.2.3,gemma,35,een leuke serie samen bekijken,True
3,3.2,3.2.4,gemma,36,plezier beleven met vrienden op een feest,True
3,3.3,3.3.1,gemma,37,beslissen wat goed is voor jou ook als anderen het anders vinden,True
3,3.3,3.3.2,gemma,38,een meningsverschil met iemand bespreken,True
3,3.3,3.3.3,gemma,39,laten zien dat je geïnteresseerd bent,True
3,3.3,3.3.4,gemma,40,proberen om anderen te overtuigen met argumenten,True
4,4.1,4.1.1,gemma,41,aanmoedigen en ondersteunen tijdens de wedstrijd,True
4,4.1,4.1.2,gemma,42,een project bedenken en uitvoeren als groep,True
4,4.1,4.1.3,gemma,43,een muziekstuk uitvoeren tijdens een optreden,True
4,4.1,4.1.4,gemma,44,nieuwe vaardigheden in de cursus toepassen,True
4,4.2,4.2.1,gemma,45,een nieuwe strategie bedenken om een level te winnen,True
4,4.2,4.2.2,gemma,46,een spannende video bekijken,True
4,4.2,4.2.3,gemma,47,een mooie tekening met kleurpotloden maken,True
4,4.2,4.2.4,gemma,48,kaarten uitdelen voor een spannend spel,True
4,4.2,4.2.5,gemma,49,een eigen fantasiewereld verzinnen,True
4,4.3,4.3.1,gemma,50,een hindernisparcours bouwen op straat,True
4,4.3,4.3.2,gemma,51,de bomen observeren en hun bladeren voelen,True
4,4.3,4.3.3,gemma,52,in het zwembad met je armen en benen bewegen,True
4,4.3,4.3.4,gemma,53,rondlopen en je omgeving bestuderen,True
4,4.3,4.3.5,gemma,54,beleven een onvergetelijke dag in een leuke recreatiepark,True
5,5.1,5.1.1,gemma,55,een grappig bericht doorsturen,True
5,5.1,5.1.2,gemma,56,denken over wat je online plaatst,True
5,5.1,5.1.3,gemma,57,online met vrienden een team vormen voor een competitie,True
5,5.1,5.1.4,gemma,58,samen een project maken met je klas via online videobellen,True
5,5.1,5.1.5,gemma,59,nadenken over wat je online wilt delen,True
5,5.2,5.2.1,gemma,60,leren van tips en trucs in een video,True
5,5.2,5.2.2,gemma,61,een genre selecteren om te zoeken,True
5,5.2,5.2.3,gemma,62,website met instructies voor een hobby opzoeken,True
5,5.2,5.2.4,gemma,63,laten zien dat je mee bent met trends online,True
5,5.3,5.3.1,gemma,64,dubbele verificatie activeren op je accounts,True
5,5.3,5.3.2,gemma,65,vertel over je interesses op je profiel,True
5,5.3,5.3.3,gemma,66,begrijp de context van een gesprek,True
5,5.3,5.3.4,gemma,67,vreemde verzoeken online negeren,True
6,6.1,6.1.1,gemma,68,leren over de verschillende veranderingen in het lichaam,True
6,6.1,6.1.2,gemma,69,een routine voor persoonlijke hygiëne maken,True
6,6.1,6.1.3,gemma,70,uitdruk jezelf op een manier die bij je past,True
6,6.2,6.2.1,gemma,71,merk op wanneer je blij of verdrietig bent,True
6,6.2,6.2.2,gemma,72,ontwikkel vertrouwen in je kunnen,True
6,6.2,6.2.3,gemma,73,overwegen wat je echt belangrijk vindt,True
6,6.2,6.2.4,gemma,74,zorg goed voor je lichaam en geest,True
6,6.2,6.2.5,gemma,75,nadenken over hoe je reageert op iets onaangenaams,True
6,6.3,6.3.1,gemma,76,rekening houden met je natuurlijke ritme van wakker worden,True
6,6.3,6.3.2,gemma,77,combineer verschillende voedingsgroepen in je maaltijden,True
6,6.3,6.3.3,gemma,78,creëer een routine met leuke bewegingsactiviteiten,True
6,6.3,6.3.4,gemma,79,gebruik duidelijke signalen als je hulp nodig hebt,True
7,7.1,7.1.1,gemma,80,focussen op kleine details in een natuurfoto,True
7,7.1,7.1.2,gemma,81,herken bewegingen door geluiden te beluisteren,True
7,7.1,7.1.3,gemma,82,ruwheid en gladheid van materialen waarnemen,True
7,7.1,7.1.4,gemma,83,ontdekken de smaak van zure en zoete vruchten,True
7,7.2,7.2.1,gemma,84,met je benen kracht zetten en springen,True
7,7.2,7.2.2,gemma,85,een complex patroon op papier tekening maken,True
7,7.2,7.2.3,gemma,86,je armen in verschillende posities bewegen,True
7,7.2,7.2.4,gemma,87,een bal met kracht gooien,True
7,7.3,7.3.1,gemma,88,richting aanwijzingen gebruiken om ergens te komen,True
7,7.3,7.3.2,gemma,89,meten met blokken of takken om ruimtes te bepalen,True
7,7.3,7.3.3,gemma,90,timing hebben voor een beweging over een kleine afstand,True
8,8.1,8.1.1,gemma,91,vertrekken van school op tijd voor het vervoer,True
8,8.1,8.1.2,gemma,92,een bestemming in de buurt bezoeken,True
8,8.1,8.1.3,gemma,93,reizen met oma naar een activiteit,True
8,8.1,8.1.4,gemma,94,ervaring opdoen met zelfstandig reizen naar nieuwe plekken,True
8,8.1,8.1.5,gemma,95,overstap van tram naar bus op de halte,True
8,8.2,8.2.1,gemma,96,een werkplek creëren in de garage voor hobby s zoals houtbewerking,True
