row_block,row,col_block,col,rrmse,p_value,alpha,significant,direction
Local,local_lasso,Static,w2v,0.8566542304408474,0.0001220703125,0.05,True,1.0
Local,local_lasso,Static,ftxt,0.8240375324686863,0.0006103515625,0.05,True,1.0
Local,local_lasso,Frozen transformer word-level,bert,0.8164741950720446,0.001220703125,0.05,True,1.0
Local,local_lasso,Frozen transformer word-level,rbt,0.8651244509399243,0.0001220703125,0.05,True,1.0
Local,local_lasso,Frozen transformer word-level,rbt_23,0.7523326601830154,0.0067138671875,0.05,True,1.0
Local,local_lasso,Frozen transformer word-level,rmbrt,0.824547273377084,0.001708984375,0.05,True,1.0
Local,local_lasso,Frozen transformer word-level,xlmr,0.8492557640944333,0.0006103515625,0.05,True,1.0
Local,local_lasso,Frozen transformer sentence-level,e5,0.7008140734908842,0.267578125,0.05,False,1.0
Local,local_lasso,Frozen transformer sentence-level,sbert,0.7530386015728913,0.10400390625,0.05,False,1.0
Local,local_lasso,Frozen transformer sentence-level,sbrrt,0.7601062682237814,0.090576171875,0.05,False,1.0
Local,local_lasso,Frozen transformer sentence-level,simcse,0.744151399719613,0.0579833984375,0.05,False,1.0
Local,local_rf,Static,w2v,0.8942290014703961,0.0001220703125,0.05,True,1.0
Local,local_rf,Static,ftxt,0.8804698917907032,0.000244140625,0.05,True,1.0
Local,local_rf,Frozen transformer word-level,bert,0.8733219004417395,0.0006103515625,0.05,True,1.0
Local,local_rf,Frozen transformer word-level,rbt,0.9116497877011442,0.0001220703125,0.05,True,1.0
Local,local_rf,Frozen transformer word-level,rbt_23,0.8869924239294216,0.0001220703125,0.05,True,1.0
Local,local_rf,Frozen transformer word-level,rmbrt,0.9350217789421919,0.0001220703125,0.05,True,1.0
Local,local_rf,Frozen transformer word-level,xlmr,0.9483014802505398,0.0001220703125,0.05,True,1.0
Local,local_rf,Frozen transformer sentence-level,e5,0.8295398759289352,0.000244140625,0.05,True,1.0
Local,local_rf,Frozen transformer sentence-level,sbert,0.8234567296852011,0.0023193359375,0.05,True,1.0
Local,local_rf,Frozen transformer sentence-level,sbrrt,0.8142149121485542,0.0008544921875,0.05,True,1.0
Local,local_rf,Frozen transformer sentence-level,simcse,0.8010276135451726,0.0052490234375,0.05,True,1.0
Chain,chain_lr,Static,w2v,0.8840876813924352,0.0008544921875,0.05,True,1.0
Chain,chain_lr,Static,ftxt,0.8163804180587786,0.008544921875,0.05,True,1.0
Chain,chain_lr,Frozen transformer word-level,bert,0.810541421857588,0.0023193359375,0.05,True,1.0
Chain,chain_lr,Frozen transformer word-level,rbt,0.9123673391532497,0.0001220703125,0.05,True,1.0
Chain,chain_lr,Frozen transformer word-level,rbt_23,0.7691142919617795,0.0067138671875,0.05,True,1.0
Chain,chain_lr,Frozen transformer word-level,rmbrt,0.8596416117520397,0.0030517578125,0.05,True,1.0
Chain,chain_lr,Frozen transformer word-level,xlmr,0.9163075956173642,0.001220703125,0.05,True,1.0
Chain,chain_lr,Frozen transformer sentence-level,e5,0.6883139117759429,1.0,0.05,False,0.0
Chain,chain_lr,Frozen transformer sentence-level,sbert,0.7488597518167733,0.0418701171875,0.05,True,1.0
Chain,chain_lr,Frozen transformer sentence-level,sbrrt,0.7722547366654126,0.0579833984375,0.05,False,1.0
Chain,chain_lr,Frozen transformer sentence-level,simcse,0.7262388124316923,0.067626953125,0.05,False,1.0
Chain,chain_rf,Static,w2v,0.8707621237333882,0.0001220703125,0.05,True,1.0
Chain,chain_rf,Static,ftxt,0.8819920390462597,0.0001220703125,0.05,True,1.0
Chain,chain_rf,Frozen transformer word-level,bert,0.8834833630480613,0.0003662109375,0.05,True,1.0
Chain,chain_rf,Frozen transformer word-level,rbt,0.9092903283462728,0.0001220703125,0.05,True,1.0
Chain,chain_rf,Frozen transformer word-level,rbt_23,0.8525244377869649,0.000244140625,0.05,True,1.0
Chain,chain_rf,Frozen transformer word-level,rmbrt,0.9121444199906268,0.0001220703125,0.05,True,1.0
Chain,chain_rf,Frozen transformer word-level,xlmr,0.9312249273731967,0.0001220703125,0.05,True,1.0
Chain,chain_rf,Frozen transformer sentence-level,e5,0.8220195833096953,0.0006103515625,0.05,True,1.0
Chain,chain_rf,Frozen transformer sentence-level,sbert,0.7971217692742767,0.0052490234375,0.05,True,1.0
Chain,chain_rf,Frozen transformer sentence-level,sbrrt,0.8102836523091705,0.001708984375,0.05,True,1.0
Chain,chain_rf,Frozen transformer sentence-level,simcse,0.7815990131682522,0.0052490234375,0.05,True,1.0
Global,global_rf,Static,w2v,0.9215168818097873,0.0001220703125,0.05,True,1.0
Global,global_rf,Static,ftxt,0.9147638113482486,0.0001220703125,0.05,True,1.0
Global,global_rf,Frozen transformer word-level,bert,0.9208006942119202,0.0001220703125,0.05,True,1.0
Global,global_rf,Frozen transformer word-level,rbt,0.923399083608326,0.0001220703125,0.05,True,1.0
Global,global_rf,Frozen transformer word-level,rbt_23,0.8834605172431191,0.000244140625,0.05,True,1.0
Global,global_rf,Frozen transformer word-level,rmbrt,0.9494303909522522,0.0001220703125,0.05,True,1.0
Global,global_rf,Frozen transformer word-level,xlmr,0.968652250441592,0.0001220703125,0.05,True,1.0
Global,global_rf,Frozen transformer sentence-level,e5,0.8750467832951927,0.0001220703125,0.05,True,1.0
Global,global_rf,Frozen transformer sentence-level,sbert,0.8300607390767805,0.001220703125,0.05,True,1.0
Global,global_rf,Frozen transformer sentence-level,sbrrt,0.8413655136779696,0.0008544921875,0.05,True,1.0
Global,global_rf,Frozen transformer sentence-level,simcse,0.8577161620201019,0.0003662109375,0.05,True,1.0
